$: |0| finalbitnum: |0| firstbitseller: |0|monero_last_rate: |0| num: |1.0|random_num: |0
$: |66.3274| finalbitnum: |51.62896742857142| firstbitseller: |59.652763|monero_last_rate: |44.00732| num: |2.0|random_num: |13.226539066495366
$: |66.3274| finalbitnum: |51.62896742857142| firstbitseller: |59.652763|monero_last_rate: |44.00732| num: |3.0|random_num: |19.531144143333524
$: |66.3274| finalbitnum: |51.62896742857142| firstbitseller: |59.652763|monero_last_rate: |44.00732| num: |4.0|random_num: |15.302244806976677
$: |66.3274| finalbitnum: |51.66018042857143| firstbitseller: |59.652763|monero_last_rate: |44.00732| num: |5.0|random_num: |18.98107554286762
$: |66.3274| finalbitnum: |51.660166142857136| firstbitseller: |59.652763|monero_last_rate: |44.00732| num: |6.0|random_num: |17.83418316081493
$: |66.3274| finalbitnum: |51.660166142857136| firstbitseller: |59.652763|monero_last_rate: |44.00732| num: |7.0|random_num: |13.68354192832761
$: |66.3274| finalbitnum: |51.660166142857136| firstbitseller: |59.652763|monero_last_rate: |44.00732| num: |8.0|random_num: |19.784492874428906
$: |66.3274| finalbitnum: |51.660166142857136| firstbitseller: |59.652763|monero_last_rate: |44.00732| num: |9.0|random_num: |17.128422277740338
$: |66.3274| finalbitnum: |51.660166142857136| firstbitseller: |59.652763|monero_last_rate: |44.00732| num: |10.0|random_num: |16.810626913912976
$: |66.3274| finalbitnum: |51.657323285714284| firstbitseller: |59.652763|monero_last_rate: |44.00732| num: |11.0|random_num: |15.12510218763071
$: |66.3274| finalbitnum: |51.657323285714284| firstbitseller: |59.652763|monero_last_rate: |44.00732| num: |12.0|random_num: |10.17126351976597
$: |66.3274| finalbitnum: |51.657323285714284| firstbitseller: |59.652763|monero_last_rate: |44.00732| num: |13.0|random_num: |17.382835063489434
$: |66.3274| finalbitnum: |51.65875185714285| firstbitseller: |59.652763|monero_last_rate: |44.00732| num: |14.0|random_num: |12.79886417363107
$: |66.3274| finalbitnum: |51.65875185714285| firstbitseller: |59.652763|monero_last_rate: |44.00732| num: |15.0|random_num: |10.252072375342646
$: |66.3274| finalbitnum: |51.65875185714285| firstbitseller: |59.652763|monero_last_rate: |44.00732| num: |16.0|random_num: |15.430283533612421
$: |66.3274| finalbitnum: |51.65875185714285| firstbitseller: |59.652763|monero_last_rate: |44.00732| num: |17.0|random_num: |10.471115009291061
